Time:2016/8/3 17:01:14-Trace>>Action-1004 Uid:32 access timeout 34547.9761/500ms.


Time:2016/8/3 17:01:14-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2016/8/3 17:01:21-Trace>>OnEntitySyncQueue execute count:14, success:1/total 15, fail:0 start...


Time:2016/8/3 17:01:21-Trace>>OnEntitySyncQueue execute count:1, success:15/total 16, fail:0 start...


Time:2016/8/3 17:01:52-Trace>>Action-1004 Uid:32 access timeout 27129.5517/500ms.


Time:2016/8/3 17:01:52-Trace>>OnEntitySyncQueue execute count:1, success:16/total 17, fail:0 start...


Time:2016/8/3 17:02:44-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2016/8/3 17:02:46-Trace>>Action-1004 Uid:32 access timeout 7849.4489/500ms.


Time:2016/8/3 17:02:46-Trace>>OnEntitySyncQueue execute count:1, success:1/total 2, fail:0 start...


Time:2016/8/3 17:03:50-Trace>>OnEntitySyncQueue execute count:1, success:2/total 3, fail:0 start...


Time:2016/8/3 17:04:22-Trace>>OnEntitySyncQueue execute count:1, success:3/total 4, fail:0 start...


Time:2016/8/3 17:20:25-Trace>>OnEntitySyncQueue execute count:2, success:0/total 2, fail:0 start...


Time:2016/8/3 17:24:31-Trace>>OnEntitySyncQueue execute count:1, success:2/total 3, fail:0 start...


Time:2016/8/3 17:24:41-Trace>>OnEntitySyncQueue execute count:1, success:3/total 4, fail:0 start...


Time:2016/8/3 17:24:55-Trace>>OnEntitySyncQueue execute count:1, success:4/total 5, fail:0 start...


Time:2016/8/3 17:25:44-Trace>>OnEntitySyncQueue execute count:1, success:5/total 6, fail:0 start...


Time:2016/8/3 17:26:11-Trace>>OnEntitySyncQueue execute count:1, success:6/total 7, fail:0 start...


Time:2016/8/3 17:26:20-Trace>>OnEntitySyncQueue execute count:1, success:7/total 8, fail:0 start...


Time:2016/8/3 17:27:36-Trace>>OnEntitySyncQueue execute count:1, success:8/total 9, fail:0 start...


Time:2016/8/3 17:32:06-Trace>>OnEntitySyncQueue execute count:1, success:9/total 10, fail:0 start...


Time:2016/8/3 17:34:31-Trace>>OnEntitySyncQueue execute count:1, success:10/total 11, fail:0 start...


Time:2016/8/3 17:38:31-Trace>>OnEntitySyncQueue execute count:1, success:11/total 12, fail:0 start...


Time:2016/8/3 17:38:59-Trace>>OnEntitySyncQueue execute count:1, success:12/total 13, fail:0 start...


Time:2016/8/3 17:39:10-Trace>>OnEntitySyncQueue execute count:1, success:13/total 14, fail:0 start...


Time:2016/8/3 17:39:31-Trace>>OnEntitySyncQueue execute count:1, success:14/total 15, fail:0 start...


Time:2016/8/3 17:54:30-Trace>>OnEntitySyncQueue execute count:1, success:15/total 16, fail:0 start...


