Time:2016/9/20 11:00:00-Trace>>OnEntitySyncQueue execute count:2, success:222/total 225, fail:0 start...


Time:2016/9/20 11:00:01-Trace>>OnEntitySyncQueue execute count:1, success:224/total 226, fail:0 start...


Time:2016/9/20 11:00:13-Trace>>OnEntitySyncQueue execute count:1, success:225/total 227, fail:0 start...


Time:2016/9/20 11:00:55-Trace>>OnEntitySyncQueue execute count:1, success:226/total 228, fail:0 start...


Time:2016/9/20 11:01:01-Trace>>OnEntitySyncQueue execute count:1, success:227/total 229, fail:0 start...


Time:2016/9/20 11:01:02-Trace>>OnEntitySyncQueue execute count:1, success:228/total 230, fail:0 start...


Time:2016/9/20 11:01:08-Trace>>OnEntitySyncQueue execute count:1, success:229/total 231, fail:0 start...


Time:2016/9/20 11:01:15-Trace>>OnEntitySyncQueue execute count:1, success:230/total 232, fail:0 start...


Time:2016/9/20 11:01:16-Trace>>OnEntitySyncQueue execute count:1, success:231/total 233, fail:0 start...


Time:2016/9/20 11:01:17-Trace>>OnEntitySyncQueue execute count:1, success:232/total 234, fail:0 start...


Time:2016/9/20 11:01:18-Trace>>OnEntitySyncQueue execute count:1, success:233/total 235, fail:0 start...


Time:2016/9/20 11:01:41-Trace>>OnEntitySyncQueue execute count:1, success:234/total 236, fail:0 start...


Time:2016/9/20 11:01:47-Trace>>OnEntitySyncQueue execute count:1, success:235/total 237, fail:0 start...


Time:2016/9/20 11:01:50-Trace>>OnEntitySyncQueue execute count:1, success:236/total 238, fail:0 start...


Time:2016/9/20 11:01:51-Trace>>OnEntitySyncQueue execute count:1, success:237/total 239, fail:0 start...


Time:2016/9/20 11:01:52-Trace>>OnEntitySyncQueue execute count:1, success:238/total 240, fail:0 start...


Time:2016/9/20 11:01:53-Trace>>OnEntitySyncQueue execute count:1, success:239/total 241, fail:0 start...


Time:2016/9/20 11:03:27-Trace>>OnEntitySyncQueue execute count:1, success:240/total 242, fail:0 start...


Time:2016/9/20 11:03:28-Trace>>OnEntitySyncQueue execute count:1, success:241/total 243, fail:0 start...


Time:2016/9/20 11:05:34-Trace>>OnEntitySyncQueue execute count:1, success:242/total 244, fail:0 start...


Time:2016/9/20 11:05:46-Trace>>OnEntitySyncQueue execute count:1, success:243/total 245, fail:0 start...


Time:2016/9/20 11:05:46-Trace>>OnEntitySyncQueue execute count:1, success:244/total 246, fail:0 start...


Time:2016/9/20 11:08:09-Trace>>OnEntitySyncQueue execute count:1, success:245/total 247, fail:0 start...


Time:2016/9/20 11:10:00-Trace>>Action-1004 Uid:57 access timeout 1100.0015/500ms.


Time:2016/9/20 11:10:00-Trace>>OnEntitySyncQueue execute count:1, success:246/total 248, fail:0 start...


Time:2016/9/20 11:10:00-Trace>>OnEntitySyncQueue execute count:2, success:247/total 250, fail:0 start...


Time:2016/9/20 11:10:01-Trace>>OnEntitySyncQueue execute count:1, success:249/total 251, fail:0 start...


Time:2016/9/20 11:11:12-Trace>>OnEntitySyncQueue execute count:1, success:250/total 252, fail:0 start...


